DDBJ/ENA/GenBank Accession	Environment	Genome Size	Genome_Quality	Completeness	GC	SRA	Study Title	Study Attribute
DBPE00000000	Gut	1592344	Medium	71.21	54.50637777	ERX222797	Gene-targeted metagenomic analysis of 1-4-a-glucan branching enzyme gene profiles among human and animal fecal microbiota	ENA-CHECKLIST: ERC000011
DBOU00000000	Gut	2677437	Medium	84.61	38.20419826	ERX222797	Gene-targeted metagenomic analysis of 1-4-a-glucan branching enzyme gene profiles among human and animal fecal microbiota	ENA-CHECKLIST: ERC000011
DBLC00000000	Gut	2610809	Near complete	95.36	46.42670081	SRX834658	Baboon feces Metagenome	collection_date: 12-Jul-2012 || env_biome: mammalia-associated habitat || env_feature: mammalia-associated habitat || env_material: feces || geo_loc_name: Kenya || host: Papio cynocephalus || lat_lon: 2.717 S 37.1 E || host_age: 20.5 || host_body_product:
DBKI00000000	Gut	1315508	Medium	84.45	34.55742095	SRX834656	Baboon feces Metagenome	collection_date: 28-Jul-2012 || env_biome: mammalia-associated habitat || env_feature: mammalia-associated habitat || env_material: feces || geo_loc_name: Kenya || host: Papio cynocephalus || lat_lon: 2.717 S 37.1 E || host_age: 15.33 || host_body_product
DBKA00000000	Gut	1371259	Medium	89.19	49.46401775	SRX834657	Baboon feces Metagenome	collection_date: 17-Jul-2012 || env_biome: mammalia-associated habitat || env_feature: mammalia-associated habitat || env_material: feces || geo_loc_name: Kenya || host: Papio cynocephalus || lat_lon: 2.717 S 37.1 E || host_age: 6.01 || host_body_product:
DBJX00000000	Gut	1462791	Near complete	93.95	49.14050234	SRX834654	Baboon feces Metagenome	collection_date: 19-Jul-2012 || env_biome: mammalia-associated habitat || env_feature: mammalia-associated habitat || env_material: feces || geo_loc_name: Kenya || host: Papio cynocephalus || lat_lon: 2.717 S 37.1 E || host_age: 22.44 || host_body_product
DBJP00000000	Gut	1489017	Medium	80.54	47.17691419	SRX834655	Baboon feces Metagenome	collection_date: 01-Aug-2012 || env_biome: mammalia-associated habitat || env_feature: mammalia-associated habitat || env_material: feces || geo_loc_name: Kenya || host: Papio cynocephalus || lat_lon: 2.717 S 37.1 E || host_age: 15.48 || host_body_product
DBJG00000000	Gut	826317	Partial	65.02	43.00757068	SRX834655	Baboon feces Metagenome	collection_date: 01-Aug-2012 || env_biome: mammalia-associated habitat || env_feature: mammalia-associated habitat || env_material: feces || geo_loc_name: Kenya || host: Papio cynocephalus || lat_lon: 2.717 S 37.1 E || host_age: 15.48 || host_body_product
DBGC00000000	Built Environment	4241056	Near complete	97.15	44.46606093	SRX822436	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 19-Jul-2013 || env_biome: city || env_feature: subway || env_material: wood || geo_loc_name: USA:New York City || lat_lon: 40.68 N 73.96 W || isolate: P00467 || BioSampleModel: Metagenome or environmental
DBGA00000000	Built Environment	2654331	Near complete	94.94	36.50679688	SRX822436	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 19-Jul-2013 || env_biome: city || env_feature: subway || env_material: wood || geo_loc_name: USA:New York City || lat_lon: 40.68 N 73.96 W || isolate: P00467 || BioSampleModel: Metagenome or environmental
