DDBJ/ENA/GenBank Accession	UBA Genome ID	SRA Bin ID	Genome Quality	CheckM Completeness	CheckM Contamination	CheckM Strain Heterogeneity	NCBI Organism Name	Genome Size (bp)	GC	Coverage	Bases >5x Coverage (%)	No. Ambiguous Bases	No. Contigs	No. Scaffolds	No. Predicted Genes	Environment
DBPE00000000	UBA628	ERX222797	Medium	71.21	0.2	0	Megasphaera elsdenii [species]	1592344	54.50637777	35.31	99.80409144	32943	551	171	1562	Gut
DBOU00000000	UBA638	ERX222797	Medium	84.61	3.93	4.35	Lachnospiraceae bacterium UBA638 [family]	2677437	38.20419826	17.89	99.12549135	19716	517	264	2645	Gut
DBLC00000000	UBA734	SRX834658	Near complete	95.36	0.95	50	Dialister sp. UBA734 [genus]	2610809	46.42670081	17.72	99.78256293	12356	383	180	2022	Gut
DBKI00000000	UBA754	SRX834656	Medium	84.45	5.99	33.33	Bacillales bacterium UBA754 [order]	1315508	34.55742095	10.15	93.58362782	6996	206	104	1222	Gut
DBKA00000000	UBA762	SRX834657	Medium	89.19	3.79	0	Catabacter sp. UBA762 [genus]	1371259	49.46401775	8.47	84.93417273	6475	285	135	1374	Gut
DBJX00000000	UBA765	SRX834654	Near complete	93.95	0.97	50	Catabacter sp. UBA765 [genus]	1462791	49.14050234	12.83	98.27635061	1705	74	38	1311	Gut
DBJP00000000	UBA773	SRX834655	Medium	80.54	0	0	Catabacter sp. UBA773 [genus]	1489017	47.17691419	16.72	99.61565473	6756	175	103	1266	Gut
DBJG00000000	UBA782	SRX834655	Partial	65.02	1.12	0	Bacillales bacterium UBA782 [order]	826317	43.00757068	9.06	87.70445202	3141	135	78	776	Gut
DBGC00000000	UBA864	SRX822436	Near complete	97.15	3.5	0	Sporomusaceae bacterium UBA864 [family]	4241056	44.46606093	61.59	99.99997635	12802	202	80	4160	Built Environment
DBGA00000000	UBA866	SRX822436	Near complete	94.94	1.36	0	Ruminococcaceae bacterium UBA866 [family]	2654331	36.50679688	7.95	83.32808638	5175	150	88	2795	Built Environment
DBEH00000000	UBA911	SRX748868	Medium	81.21	0.64	0	Firmicutes bacterium UBA911 [phylum]	1523585	62.81647248	46.72	99.94564151	15081	103	60	1533	Built Environment
DBCZ00000000	UBA945	SRX255561	Near complete	91.93	0.89	50	Ruminococcaceae bacterium UBA945 [family]	1672921	49.95574194	12.42	98.23969927	6558	226	96	1705	Gut
DBBD00000000	UBA993	SRX748870	Medium	81.81	0.99	0	Firmicutes bacterium UBA993 [phylum]	1922628	49.74031729	35.52	98.88345885	17996	215	163	1797	Biofilm
DBBC00000000	UBA994	SRX748870	Medium	80.37	0.85	0	Firmicutes bacterium UBA994 [phylum]	1446131	54.59235239	16.95	99.17031362	22340	223	158	1460	Biofilm
DBBB00000000	UBA995	SRX748870	Medium	86.14	1.98	0	Firmicutes bacterium UBA995 [phylum]	1654358	65.58326134	14.3	98.20935332	21205	250	190	1707	Biofilm
