DDBJ/ENA/GenBank Accession	UBA Genome ID	SRA Bin ID	Genome Quality	CheckM Completeness	CheckM Contamination	CheckM Strain Heterogeneity	NCBI Organism Name	SSU Length (bp)	SSU Percent Identity (top hit)	SSU SILVA Taxonomy (top hit)	SSU Top Hit in SILVA	Genome Size (bp)	GC	Coverage	Bases >5x Coverage (%)	No. Ambiguous Bases	No. Contigs	No. Scaffolds	No. Predicted Genes	Coding density	Longest Contig (bp)	Longest Scaffold (bp)	Mean Contig Length (bp)	Mean Scaffold Length (bp)	N50 (contigs)	N50 (scaffolds)	Translation Table	Scaffolds Removed by Filtering	Standard tRNAs	Selenocysteine tRNAs (TCA)	tRNAs Decoding Standard 20 AA	Total tRNAs	Percent PG (relative to NCBI genomes)	CheckM Marker Lineage	CheckM # genomes	CheckM # marker sets	CheckM # markers	CheckM Insertion Branch ID	Environment
DBPE00000000	UBA628	ERX222797	Medium	71.21	0.2	0	Megasphaera elsdenii [species]	612	99.327	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	JRPS01000028.5302.6870	1592344	54.50637777	35.31	99.80409144	32943	551	171	1562	0.816412785	21012	71844	2830	9311	5353	12479	11	13	18	0	37	37	0	o__Selenomonadales (UID1024)	64	167	334	UID1082	Gut
DBOU00000000	UBA638	ERX222797	Medium	84.61	3.93	4.35	Lachnospiraceae bacterium UBA638 [family]	311	92.357	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Fusicatenibacter;uncultured bacterium	DQ799971.1.1392	2677437	38.20419826	17.89	99.12549135	19716	517	264	2645	0.859282964	47469	89979	5140	10141	8982	13223	11	27	14	0	33	33	0.005096	f__Lachnospiraceae (UID1286)	57	207	420	UID1328	Gut
DBLC00000000	UBA734	SRX834658	Near complete	95.36	0.95	50	Dialister sp. UBA734 [genus]					2610809	46.42670081	17.72	99.78256293	12356	383	180	2022	0.724816331	78960	84947	6784	14504	11472	21647	11	0	18	0	43	43	0.00295	p__Firmicutes (UID1022)	100	158	295	UID1065	Gut
DBKI00000000	UBA754	SRX834656	Medium	84.45	5.99	33.33	Bacillales bacterium UBA754 [order]	648	90.643	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;uncultured bacterium	EF515218.1.1379	1315508	34.55742095	10.15	93.58362782	6996	206	104	1222	0.89159701	48867	63891	6352	12649	10359	18057	11	0	18	0	31	33	0.039171	k__Bacteria (UID2329)	174	89	149	UID2372	Gut
DBKA00000000	UBA762	SRX834657	Medium	89.19	3.79	0	Catabacter sp. UBA762 [genus]	346	89.017	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured bacterium	GQ132657.1.1394	1371259	49.46401775	8.47	84.93417273	6475	285	135	1374	0.893558401	32770	71391	4788	10157	9667	13339	11	0	13	0	25	25	0.000332	c__Clostridia (UID1118)	387	124	223	UID1119	Gut
DBJX00000000	UBA765	SRX834654	Near complete	93.95	0.97	50	Catabacter sp. UBA765 [genus]	343	96.21	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured Clostridiales bacterium	JN173152.1.1481	1462791	49.14050234	12.83	98.27635061	1705	74	38	1311	0.906794614	98556	98558	19744	38494	34913	47562	11	0	17	0	33	33	0.00024	c__Clostridia (UID1118)	387	124	223	UID1119	Gut
DBJP00000000	UBA773	SRX834655	Medium	80.54	0	0	Catabacter sp. UBA773 [genus]	756	99.688	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured bacterium	JQ185979.1.1338	1489017	47.17691419	16.72	99.61565473	6756	175	103	1266	0.85248926	42657	60577	8470	14456	14236	20191	11	1	19	0	37	39	0.001966	o__Clostridiales (UID1212)	172	149	263	UID1226	Gut
DBJG00000000	UBA782	SRX834655	Partial	65.02	1.12	0	Bacillales bacterium UBA782 [order]	785	93.13	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;uncultured bacterium	EF515475.1.1382	826317	43.00757068	9.06	87.70445202	3141	135	78	776	0.893278246	33930	60175	6097	10593	9685	14045	11	1	11	0	18	18	0.035401	k__Bacteria (UID2329)	174	89	149	UID2372	Gut
DBGC00000000	UBA864	SRX822436	Near complete	97.15	3.5	0	Sporomusaceae bacterium UBA864 [family]					4241056	44.46606093	61.59	99.99997635	12802	202	80	4160	0.876395171	142860	279100	20931	53013	47377	80085	11	13	19	1	71	72	0.008714	p__Firmicutes (UID1022)	100	158	295	UID1060	Built Environment
DBGA00000000	UBA866	SRX822436	Near complete	94.94	1.36	0	Ruminococcaceae bacterium UBA866 [family]	536	89.811	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;uncultured bacterium	EU472229.1.1371	2654331	36.50679688	7.95	83.32808638	5175	150	88	2795	0.860565996	99066	104192	17661	30162	33184	49229	11	0	14	0	26	27	0.016508	o__Clostridiales (UID1212)	172	149	263	UID1239	Built Environment
